M554,塘朗地铁站
M467,南油地铁站①
M136,坪山大道龙坪路口
603,平峦山地铁站公交站
M597,岗头地铁站
83,田贝地铁站
M474,龙珠四路
M578,万科城①
M474,桃源村
M422,坪山火车站南广场
B917,红山地铁站
M511,木棉湾地铁站2
74,西丽社区②(往南)
29,深圳书城
M550,宝安中心站
B679,沙井地铁公交接驳站
323,木棉湾地铁站2
M393,灵芝公园北
B933,松岗地铁站
M518,诺铂广场
M346,象角塘西
M396,龙城广场地铁站②
80,航苑大厦
B971,凤凰英荟城
334,龙井地铁站
虹桥公园假日专线1,凤凰城地铁站
811,爱联地铁站
M239区间车2线,田贝②
215,深圳书城
104,景新花园②
M190,丹竹头地铁站
M191,盐田区政府(B站台)
M359,石湖龙居民小组站
82,田贝①
M138,福田保健院
高快巴士31信息枢纽大厦,购物公园地铁站
M347,雅颂居
M281,万科城
M473,宝安体育馆
M403,石芽岭地铁站①
甘坑客家小镇假日专线,甘坑地铁站
2,翠园中学东晓校区
49,高科技中心
M208,四联地铁站
B826,君逸世家
M382,坪洲地铁站
381,莲塘口岸①
E8,华为单身公寓北
M389,高训大厦（福强路西侧北）
328,景新花园①
M350,宝田一路地铁站
652,民主社区
433,侨城东地铁站
M295,木棉湾地铁站2
37,丽山路南站（北行）
B831,灵芝公园北
M299,卓越后海中心
M271,木棉湾地铁站1
10,华新村公交总站
M460,群星广场
M582,上屋地铁站
818,东纵纪念馆站
811,龙城广场地铁站②
67,群星广场
12,火车站
M102,少儿图书馆（注红荔路）
42,南头古城
B963,光明大街地铁站
M453,沙尾
328,民乐地铁站5
M105,南山派出所
M482,鹿丹村站
莞747,光明大街地铁站
M370,福田区委
观光巴士科技生态蓝线,深大南站
B927,洪安围
坪梅假日专线,梅沙街道办
308,草埔地铁站
M532,光明中心站
M329,东湖路
357,市总工会
M382,上川地铁站
M441,购物公园地铁站
316,华侨城医院
215,火车站
M359,南联地铁站
70,蛇口港地铁站
255,笋岗村牌坊
E22,坪山大道龙坪路口
N4,南山派出所
M313,泰华阳光海①
M313,灵芝公园北
M205,盐田区政府(B站台)
M234,后亭地铁站
358（快线）,爱联地铁站
M312,梅林阁
M220,锦龙地铁站
M304,东升学校
70,农林地铁站
M572,坂田地铁站
324,招商银行大厦②
B829,洪浪北地铁站
14,地王大厦
M491,丹竹头地铁站
M555,木头龙
M561,深湾地铁站
M385,长岭陂地铁站
M300,上李朗地铁站
高峰专线102,灵芝地铁站
44,沙尾
M362,盐田区政府(B站台)
B836,黄田1
M233,扬马市场
212,福田区委
M115,莲花中学
滨海休闲观光假日专线,深圳湾公园地铁站
M221,雅颂居
63,岗厦地铁站
122,蛇口港地铁站
358（快线）,大运地铁站①
M312,丰泽湖山庄总站
高峰专线158,坪洲地铁站
M269,木古地铁站
M568,富豪花园
M400,城市山林东
M295,坪山大道东纵路口
M105,上水径
M525,凤凰城地铁站
203,地王大厦
高峰专线91,南坑村
10,地王大厦
M347,星光之约
M263,民乐地铁站北公交场站
M406,木棉湾地铁站1
M409,南玻大厦
M437,洪湖公园②
222,景新花园①
218,福田农批市场
M482,田贝地铁站
M191,大冲①
E22,二层公交站台
M313,富盈门站
深惠2支线,沙田地铁站2
B961,沙田地铁站2
M400,海上世界地铁站
M240,深圳石油大厦
梧桐山假日专线2,深圳东站交通枢纽公交场站
57,莲塘口岸①
650,沙井地铁站
高峰专线62,龙井地铁站
M355,海滨实验小学
高峰专向8,坪山大道东纵路口
M523,扬马市场
M347,莲花中学
M136,坪山广场地铁站
M447,岗厦北地铁站①
718,诺铂广场
101,华侨城地铁站
M359,爱联地铁站
339,深南科苑立交北
M562,桂湾地铁站
M576,石井地铁站
P715,华南城地铁站
M528,西乡大道西岗路口
29,东湖路
M383,万科城①
M209,深大南站
615,公园路西一巷
M487,白石洲①
M356,长圳地铁站
11,市二医院①
818,坪山税务局
M312,农林地铁站
M191,黄贝岭地铁站①
M224,购物公园地铁站
104,门诊部①
M299,深南科苑立交北
M401,市二医院①
E19,高科技中心
N7,罗湖小学②
M272,百鸽笼公交接驳站
19,南山书城地铁站②
高峰专线37,中海日辉台
371,洪湖公园①
高峰专线126,坂田交警中队
M348,翠竹苑
M336,长圳地铁站
M406,深圳东站②
B876,桥头地铁站
M229,荷坳地铁站
306,西环吉华路口
13,市妇幼保健院红荔院区（注红荔路）
M448,扬马市场
M229,四联地铁站
M521,华为单身公寓北
B680,草埔地铁站
M463,布吉中学
M312,翠海花园
M406,草埔地铁站
38,深云村
B867,锦龙地铁站
26,龙珠四路
833,锦龙地铁站
P207,市总工会
104,湖贝地铁站
204,上海宾馆
M193,民治地铁站
B864,凤凰岗村
M404,建设路总站
M356,光明中心站
82,百鸽笼地铁站
M275,龙城广场地铁站②
B831,公园路西一巷
高快巴士29,西乡大道
M597,民治地铁站
377,新洲村
M261,平吉大道辅岐路口
339,福田党校①
104,翠海花园
B681,中医院一门诊
M473,华丰工业区公交站①
高峰专线8,坪山广场地铁站
高峰专线138,富盈门站
29,爱华市场公交站
12,海馨苑
M386,双龙地铁站①
M428,西环吉华路口
假日专线1,宝安体育馆
M364,南山花园
36,西丽社区②(往南)
362,上沙村②
高快巴士60,兴华宾馆东公交站
107,农林地铁站
新西湖快线,火车站
M372,南航公司
333,富豪花园
720,楼村
M393,大运地铁站
M358,木棉湾地铁站2
113,广岭
603,诺铂广场
M467,南油地铁站②
M299,二层公交站台
M281,木棉湾地铁站1
M224,福华新村
M329,木棉湾地铁站1
M473,华丰工业区公交站②
74,协和深圳医院东
M324,丹竹头地铁站
3,岗厦地铁站
E25,黄阁坑地铁站
高峰专线34,沙元埔
M184,马安山地铁站
61,六约地铁站
M194,华丰工业区公交站①
深惠3A线,深圳东站②
M313,高科技中心
101,中医院一门诊
M311,上李朗地铁站
M447,黄阁坑地铁站
M404,盛宝布澜路口
M497,坪山火车站南广场
M372,协和深圳医院东
M528,固戍地铁站
7,福田农批市场
323,草埔地铁站
M325,坪山中心地铁站
M393,固戍地铁站
B986,上屋地铁站
高峰专线32,黄贝岭地铁站④
225,少儿图书馆（注红荔路）
67,广中医深圳医院
M485,草埔地铁站
高峰专线183,丹竹头地铁站
M346,家和花园
11,体育馆①
N6,群星广场始发站1
M427,坪山火车站南广场
M454,市二医院①
M133,黄贝岭地铁站②
101,市公安局①
M282,坂田石化新村
M106,南油地铁站②
M467,南山党校
M308,龙岗智慧家园站
M239,双龙地铁站①
M355,平峦山地铁站公交站
B687,翻身地铁站
B976,固戍地铁站
P364,深圳石油大厦
M435,科技园①
M437,沙头角地铁站
M313,诺铂广场
M588,草埔地铁站
M312,福田农批市场
高峰专线91,坂田北地铁站
高快巴士26,华强路地铁接驳站
23,赤尾天桥
M372,南山花园
104,上海宾馆
高快巴士47,招商银行大厦②
M482,翠北小学
334,梅林阁
M182,广岭
M196,海滨浴场
398,深圳东站①
M589,石芽岭地铁站①
B619,沙头角地铁站C口（招呼车）
M400,碧海湾地铁站
12,妇幼保健院红荔院区（注红荔路）
M295,坑梓街道办
320,科技园①
303,岗厦北地铁站①
M197,碧海湾地铁站
M405,华强路地铁接驳站
M545,坂田交警中队
M265,东都雅苑（公交站）
高峰专线22,南坑村
M401,红岭南路2
M460,广中医深圳医院
M476,福民新村站
M484,大新小学
833,大运地铁站①
M341,会展湾南岸广场公交场站
M273,深圳东站西广场
M302,禾花地铁站
M296,技术大学地铁站东
371,木棉湾地铁站1
63,福华新村
M263,南坑村
高快巴士29,黄田1
366,木棉湾地铁站1
高快巴士47,深南香蜜立交①
M481,扬马市场
320,泰华阳光海①
M362,梅沙街道办
323,科技园①
M415,上水径
M463,红岭北地铁站
M404,木棉湾地铁站1
M363,石芽岭地铁站
M484,荔林地铁站
74,南山派出所
